Date,open,high,low,close,volume,Dividends,Stock Splits,symbol
2024-08-19 00:00:00+02:00,5.862756154721709,5.907373525000098,5.8591865778764305,5.881495475769043,10184387,0.0,0.0,ENEL.MI
2024-08-20 00:00:00+02:00,5.898449714903003,5.907373017990089,5.843123618837231,5.870786666870117,10480634,0.0,0.0,ENEL.MI
2024-08-21 00:00:00+02:00,5.875249062374912,5.925220585397065,5.875249062374912,5.8922038078308105,11333342,0.0,0.0,ENEL.MI
2024-08-22 00:00:00+02:00,5.884171865193834,5.93057423290971,5.884171865193834,5.895772457122803,11650943,0.0,0.0,ENEL.MI
2024-08-23 00:00:00+02:00,5.918081203402271,6.001069920329642,5.913619339194819,5.9912543296813965,16741415,0.0,0.0,ENEL.MI
2024-08-26 00:00:00+02:00,5.978761123584617,6.009993748046039,5.977868835829741,5.98679256439209,9577759,0.0,0.0,ENEL.MI
2024-08-27 00:00:00+02:00,6.018024601747911,6.082273998948453,6.011778162124719,6.042118072509766,18776715,0.0,0.0,ENEL.MI
2024-08-28 00:00:00+02:00,6.036764134030564,6.094767093658447,6.032302695218267,6.094767093658447,16376706,0.0,0.0,ENEL.MI
2024-08-29 00:00:00+02:00,6.085843844629116,6.125107059567187,6.085843844629116,6.109045028686523,17132223,0.0,0.0,ENEL.MI
2024-08-30 00:00:00+02:00,6.1188608482277225,6.156339914531784,6.1188608482277225,6.125107288360596,26577959,0.0,0.0,ENEL.MI
2024-09-02 00:00:00+02:00,6.125106867800865,6.152769915350955,6.112613988392899,6.146523475646973,12820457,0.0,0.0,ENEL.MI
2024-09-03 00:00:00+02:00,6.157232157861192,6.181325630414935,6.1420619887870345,6.1509857177734375,18241803,0.0,0.0,ENEL.MI
2024-09-04 00:00:00+02:00,6.132246244777331,6.170617172145451,6.079597436487943,6.141169548034668,21423781,0.0,0.0,ENEL.MI
2024-09-05 00:00:00+02:00,6.141169595233868,6.2571755170184815,6.1349231552536825,6.242005348205566,31880328,0.0,0.0,ENEL.MI
2024-09-06 00:00:00+02:00,6.237543122102641,6.321424551340513,6.228619819294145,6.2919769287109375,28323495,0.0,0.0,ENEL.MI
2024-09-09 00:00:00+02:00,6.282161013081432,6.312500923926142,6.2402205105455,6.29465389251709,20140138,0.0,0.0,ENEL.MI
2024-09-10 00:00:00+02:00,6.283945619774426,6.365149762016224,6.283053332025561,6.319639682769775,25521350,0.0,0.0,ENEL.MI
2024-09-11 00:00:00+02:00,6.302685333230579,6.326778804357459,6.22951220659871,6.29465389251709,21508986,0.0,0.0,ENEL.MI
2024-09-12 00:00:00+02:00,6.313393243020928,6.324993834769757,6.273237741281256,6.319639682769775,21067340,0.0,0.0,ENEL.MI
2024-09-13 00:00:00+02:00,6.335701747110919,6.370503520206037,6.3196392921039175,6.35176420211792,20213151,0.0,0.0,ENEL.MI
2024-09-16 00:00:00+02:00,6.337487001752747,6.3776425026178885,6.331240136633153,6.364257335662842,14220708,0.0,0.0,ENEL.MI
2024-09-17 00:00:00+02:00,6.403521062598393,6.442784276275472,6.375858015070657,6.4106597900390625,21181822,0.0,0.0,ENEL.MI
2024-09-18 00:00:00+02:00,6.415122217174177,6.424045520881326,6.322317475781584,6.330348491668701,21520417,0.0,0.0,ENEL.MI
2024-09-19 00:00:00+02:00,6.372288464454751,6.377642616433678,6.18935628594627,6.2223734855651855,44011270,0.0,0.0,ENEL.MI
2024-09-20 00:00:00+02:00,6.201849043923236,6.276806744653268,6.199172180739599,6.237543106079102,36198571,0.0,0.0,ENEL.MI
2024-09-23 00:00:00+02:00,6.238436185065166,6.324994056839184,6.236651183997972,6.300008296966553,15856890,0.0,0.0,ENEL.MI
2024-09-24 00:00:00+02:00,6.3062542237325845,6.347302436828613,6.242004828212417,6.347302436828613,21349106,0.0,0.0,ENEL.MI
2024-09-25 00:00:00+02:00,6.302685893270656,6.344626399533312,6.2884080115706436,6.33391809463501,14741750,0.0,0.0,ENEL.MI
2024-09-26 00:00:00+02:00,6.374965695924728,6.3999514545973835,6.348194936270604,6.385673999786377,20018485,0.0,0.0,ENEL.MI
2024-09-27 00:00:00+02:00,6.357118603171436,6.436537742614746,6.357118603171436,6.436537742614746,21645867,0.0,0.0,ENEL.MI
2024-09-30 00:00:00+02:00,6.4329688099600215,6.439215249779701,6.365149834195726,6.4026288986206055,23404510,0.0,0.0,ENEL.MI
2024-10-01 00:00:00+02:00,6.399951919027522,6.476694201595973,6.382997174267341,6.4436774253845215,21228979,0.0,0.0,ENEL.MI
2024-10-02 00:00:00+02:00,6.440107777637971,6.445461929898281,6.30893211102742,6.346410751342773,23908385,0.0,0.0,ENEL.MI
2024-10-03 00:00:00+02:00,6.324993965709011,6.3553343028392755,6.070673655225537,6.232189655303955,25362377,0.0,0.0,ENEL.MI
2024-10-04 00:00:00+02:00,6.206311225891113,6.255390882998858,6.117968353705339,6.206311225891113,25913483,0.0,0.0,ENEL.MI
2024-10-07 00:00:00+02:00,6.24379064237828,6.251821658299287,6.159016916515066,6.192926406860352,18863238,0.0,0.0,ENEL.MI
2024-10-08 00:00:00+02:00,6.1929258887721605,6.233081816031492,6.159016401263678,6.225943088531494,16314096,0.0,0.0,ENEL.MI
2024-10-09 00:00:00+02:00,6.242897411561906,6.2803764756025,6.212557500533574,6.247359275817871,12871918,0.0,0.0,ENEL.MI
2024-10-10 00:00:00+02:00,6.260744766416042,6.270560783184756,6.2107732457901905,6.230404853820801,14600174,0.0,0.0,ENEL.MI
2024-10-11 00:00:00+02:00,6.227727658878655,6.32053239282225,6.218803930380943,6.305362224578857,17228320,0.0,0.0,ENEL.MI
