Date,open,high,low,close,volume,Dividends,Stock Splits,symbol
2024-07-16 00:00:00+02:00,384.7847328626474,385.5695953808269,377.81896573660686,384.4903869628906,240181,0.0,0.0,RACE.MI
2024-07-17 00:00:00+02:00,382.72446176522436,383.70555496126923,375.9549247006323,378.1133117675781,269364,0.0,0.0,RACE.MI
2024-07-18 00:00:00+02:00,379.9773954123483,384.1961142591468,376.7397997346147,379.3887634277344,181131,0.0,0.0,RACE.MI
2024-07-19 00:00:00+02:00,380.07549188901396,383.901749302344,375.95491849796144,376.4454650878906,225461,0.0,0.0,RACE.MI
2024-07-22 00:00:00+02:00,376.543548162495,381.5471293374481,375.9549162106314,380.8603820800781,181813,0.0,0.0,RACE.MI
2024-07-23 00:00:00+02:00,382.7244536261914,384.6866399765532,378.99628159615133,382.920654296875,212326,0.0,0.0,RACE.MI
2024-07-24 00:00:00+02:00,376.9360003522541,377.62274759316807,370.95132614681836,375.0718994140625,339787,0.0,0.0,RACE.MI
2024-07-25 00:00:00+02:00,371.7362237329311,373.5022095344395,365.849664275749,368.4005126953125,347627,0.0,0.0,RACE.MI
2024-07-26 00:00:00+02:00,366.34017145816534,374.1889165561039,366.34017145816534,373.3059387207031,228327,0.0,0.0,RACE.MI
2024-07-29 00:00:00+02:00,375.07188231378933,375.7586594639786,369.1853236798889,369.8721008300781,189154,0.0,0.0,RACE.MI
2024-07-30 00:00:00+02:00,372.52108559422004,377.03409018703,371.93242370889214,374.777587890625,205714,0.0,0.0,RACE.MI
2024-07-31 00:00:00+02:00,373.8946324554425,374.97384098649934,369.57782827180426,373.2078552246094,307044,0.0,0.0,RACE.MI
2024-08-01 00:00:00+02:00,369.9702183893684,395.3805239928514,366.63450779789326,382.5281982421875,763285,0.0,0.0,RACE.MI
2024-08-02 00:00:00+02:00,382.62633368735175,387.53179950385623,376.15111282144835,385.3733825683594,569068,0.0,0.0,RACE.MI
2024-08-05 00:00:00+02:00,380.3698088647944,381.1546713727254,367.41936789983436,380.5660095214844,647769,0.0,0.0,RACE.MI
2024-08-06 00:00:00+02:00,378.9962765110647,379.68305370071175,368.98914422284014,374.777587890625,457139,0.0,0.0,RACE.MI
